epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.172,1.91701,3.49108,2.00728,0.00898,0.19841,0.05427,0.03733,1.56391,3.39705,2.04099,2.858e-05,2.858e-05,2.858e-05
2,41.031,1.94947,3.47314,2.02739,0.00858,0.18254,0.04904,0.03311,1.54977,3.38121,1.99994,7.07426e-05,7.07426e-05,7.07426e-05
3,55.2321,1.76313,3.22508,1.88364,0.00912,0.18254,0.03746,0.02182,1.66454,3.39503,2.05842,0.000112056,0.000112056,0.000112056
4,76.4059,1.79223,3.12763,1.89427,0.01217,0.25397,0.03876,0.02129,1.73173,3.37864,2.06237,0.000152521,0.000152521,0.000152521
5,103.718,1.88267,2.95455,1.99814,0.01163,0.57143,0.05676,0.03117,1.67423,3.30902,2.00111,0.000192138,0.000192138,0.000192138
6,135.048,1.84441,2.84398,1.92261,0.0147,0.53175,0.06797,0.0543,1.91786,3.2163,2.17434,0.000230905,0.000230905,0.000230905
7,160.755,1.85663,2.78552,1.93826,0.01639,0.57143,0.11689,0.08073,2.0275,3.16128,2.24112,0.000268823,0.000268823,0.000268823
8,184.841,2.01105,2.64021,2.14286,0.01515,0.57143,0.1127,0.07688,2.047,3.13427,2.28336,0.000305893,0.000305893,0.000305893
9,208.67,1.92941,2.51177,1.98663,0.01521,0.51587,0.12545,0.08077,1.9829,3.24912,2.2235,0.000342114,0.000342114,0.000342114
10,232.592,1.7961,2.356,1.8623,0.01485,0.57143,0.12643,0.08262,2.06165,3.26978,2.30679,0.000377486,0.000377486,0.000377486
11,255.813,1.83361,2.39194,1.92821,0.01567,0.57143,0.11885,0.08156,2.2836,3.27474,2.41973,0.000412009,0.000412009,0.000412009
12,279.135,1.86262,2.33414,1.93404,0.91362,0.06349,0.11313,0.07075,2.37559,3.24023,2.54139,0.000445684,0.000445684,0.000445684
13,298.607,1.75266,2.17527,1.78894,0.83094,0.04762,0.08772,0.06055,2.4656,3.37094,2.73525,0.000478509,0.000478509,0.000478509
14,313.258,1.75989,2.01724,1.79055,0.01521,0.55556,0.09513,0.06778,2.44322,3.43947,2.73047,0.000510486,0.000510486,0.000510486
15,327.964,1.70992,1.94203,1.78789,0.83961,0.04762,0.09392,0.07179,2.38994,3.35059,2.64557,0.000541614,0.000541614,0.000541614
16,341.852,1.72657,2.08197,1.85963,0.7852,0.05292,0.09334,0.06629,2.41164,3.15202,2.70814,0.000571893,0.000571893,0.000571893
17,356.066,1.73918,2.05516,1.84774,0.85524,0.06222,0.10286,0.06434,2.4009,2.89253,2.71476,0.000601323,0.000601323,0.000601323
18,369.9,1.84114,2.07787,1.92535,0.51444,0.11905,0.1503,0.07968,2.40979,2.90859,2.75213,0.000629905,0.000629905,0.000629905
19,385.494,1.77847,1.96559,1.85206,0.6504,0.11905,0.15121,0.07603,2.29982,2.85967,2.70351,0.000657637,0.000657637,0.000657637
20,401.679,1.70753,1.99568,1.79091,0.60217,0.11905,0.15448,0.10123,2.3219,2.87092,2.61394,0.000684521,0.000684521,0.000684521
21,419.495,1.67205,1.91309,1.72845,0.54342,0.11905,0.13043,0.08877,2.38896,2.92567,2.60393,0.000710556,0.000710556,0.000710556
22,436.914,1.77725,2.17414,1.81897,0.55455,0.11905,0.10348,0.07766,2.44002,2.84254,2.64931,0.000735742,0.000735742,0.000735742
23,453.062,1.76611,1.92857,1.83122,0.65023,0.15079,0.11968,0.07649,2.40241,2.79263,2.56127,0.000760079,0.000760079,0.000760079
24,468.773,1.60818,1.86952,1.72335,0.93079,0.06349,0.10021,0.06091,2.27316,2.71025,2.56531,0.000783568,0.000783568,0.000783568
25,484.152,1.63915,1.92974,1.72193,0.75094,0.09524,0.10976,0.08077,2.21742,2.70483,2.54105,0.000806208,0.000806208,0.000806208
26,502.558,1.52911,1.75563,1.64467,0.75216,0.10957,0.14164,0.09565,2.25782,2.76244,2.72734,0.000827998,0.000827998,0.000827998
27,518.36,1.65558,1.83404,1.77288,0.78064,0.07937,0.10391,0.06523,2.42894,2.90876,2.87505,0.00084894,0.00084894,0.00084894
28,534.001,1.61874,1.73212,1.69934,0.82097,0.07937,0.09201,0.0544,2.41444,3.06815,2.8084,0.000869033,0.000869033,0.000869033
29,552.802,1.58372,1.74558,1.66305,0.82097,0.07937,0.09201,0.0544,2.41444,3.06815,2.8084,0.000888278,0.000888278,0.000888278
30,567.805,1.65791,1.83284,1.76724,0.76148,0.04762,0.08319,0.05568,2.38214,3.16911,2.66482,0.000906673,0.000906673,0.000906673
31,585.589,1.49557,1.60295,1.62548,0.77396,0.06349,0.08454,0.04148,2.47041,3.20504,2.65518,0.00092422,0.00092422,0.00092422
32,604.919,1.58558,1.82042,1.65751,0.47594,0.07937,0.0908,0.03977,2.54381,3.1467,2.70633,0.000940918,0.000940918,0.000940918
33,620.747,1.5909,1.72551,1.67972,0.47594,0.07937,0.0908,0.03977,2.54381,3.1467,2.70633,0.000956767,0.000956767,0.000956767
34,636.011,1.60538,1.69106,1.68589,0.41468,0.04762,0.07662,0.03445,2.49622,3.19917,2.73452,0.000962146,0.000962146,0.000962146
35,652.629,1.54764,1.64818,1.60654,0.91513,0.04762,0.0604,0.03255,2.52438,3.12105,2.88574,0.000947999,0.000947999,0.000947999
36,667.233,1.51615,1.69597,1.64428,0.82749,0.06349,0.06546,0.04206,2.56184,3.05054,2.89497,0.000933851,0.000933851,0.000933851
37,681.679,1.67978,1.69592,1.64088,0.82749,0.06349,0.06546,0.04206,2.56184,3.05054,2.89497,0.000919704,0.000919704,0.000919704
38,696.364,1.58267,1.63207,1.61873,0.43496,0.11451,0.08191,0.04704,2.60085,2.88008,2.83615,0.000905557,0.000905557,0.000905557
39,711.312,1.44436,1.52908,1.53588,0.89115,0.07937,0.09863,0.05721,2.45465,2.71883,2.67759,0.00089141,0.00089141,0.00089141
40,726.583,1.58987,1.65687,1.63806,0.53981,0.16667,0.14313,0.08564,2.36023,2.82112,2.64232,0.000877263,0.000877263,0.000877263
41,743.126,1.50348,1.67014,1.6051,0.53981,0.16667,0.14313,0.08564,2.36023,2.82112,2.64232,0.000863116,0.000863116,0.000863116
42,761.016,1.50913,1.60981,1.59835,0.70881,0.13492,0.13877,0.09339,2.36178,3.13887,2.76846,0.000848969,0.000848969,0.000848969
43,776.077,1.52527,1.58251,1.59207,0.73223,0.11905,0.1336,0.06963,2.45576,3.13238,2.90807,0.000834822,0.000834822,0.000834822
44,792.362,1.44936,1.51323,1.58393,0.6096,0.19703,0.17461,0.06341,2.67406,3.12813,3.12473,0.000820675,0.000820675,0.000820675
45,807.713,1.39028,1.47541,1.52615,0.6096,0.19703,0.17461,0.06341,2.67406,3.12813,3.12473,0.000806528,0.000806528,0.000806528
46,823.09,1.43348,1.58844,1.52787,0.6464,0.15873,0.13847,0.04667,2.66343,2.94422,3.07728,0.00079238,0.00079238,0.00079238
47,838.673,1.38997,1.5338,1.49703,0.69943,0.15873,0.1786,0.06863,2.5157,2.99026,2.89621,0.000778233,0.000778233,0.000778233
48,853.722,1.37381,1.42932,1.45546,0.57914,0.15873,0.17287,0.08653,2.51048,2.98904,2.80721,0.000764086,0.000764086,0.000764086
49,868.4,1.48905,1.63217,1.57744,0.57914,0.15873,0.17287,0.08653,2.51048,2.98904,2.80721,0.000749939,0.000749939,0.000749939
50,883.409,1.33667,1.40562,1.42148,0.55843,0.18607,0.1048,0.05663,2.44777,2.99005,2.75049,0.000735792,0.000735792,0.000735792
51,898.248,1.44161,1.58894,1.61623,0.5287,0.13492,0.08263,0.05359,2.39824,2.88792,2.67909,0.000721645,0.000721645,0.000721645
52,913.186,1.27104,1.33956,1.43604,0.53253,0.15079,0.08642,0.05296,2.28998,2.83786,2.5336,0.000707498,0.000707498,0.000707498
53,928.514,1.47901,1.51203,1.52951,0.53253,0.15079,0.08642,0.05296,2.28998,2.83786,2.5336,0.000693351,0.000693351,0.000693351
54,943.499,1.28598,1.39326,1.46013,0.50125,0.15079,0.10303,0.065,2.24905,2.81014,2.50147,0.000679204,0.000679204,0.000679204
55,958.923,1.48498,1.61194,1.55143,0.56243,0.16667,0.12863,0.07724,2.38165,2.81443,2.54336,0.000665057,0.000665057,0.000665057
56,974.203,1.36584,1.42877,1.50922,0.58707,0.16667,0.1559,0.09403,2.39857,2.73906,2.58469,0.000650909,0.000650909,0.000650909
57,989.368,1.40983,1.52423,1.4915,0.58707,0.16667,0.1559,0.09403,2.39857,2.73906,2.58469,0.000636762,0.000636762,0.000636762
58,1004.97,1.30906,1.34334,1.4241,0.20336,0.16667,0.14378,0.08975,2.42819,2.76816,2.58268,0.000622615,0.000622615,0.000622615
59,1020.4,1.25151,1.25536,1.37613,0.22733,0.13492,0.14737,0.08222,2.53593,2.82381,2.64293,0.000608468,0.000608468,0.000608468
60,1036.18,1.39304,1.49386,1.52557,0.22035,0.13492,0.1393,0.07815,2.5183,2.78379,2.72005,0.000594321,0.000594321,0.000594321
61,1051.56,1.39009,1.44038,1.52457,0.22035,0.13492,0.1393,0.07815,2.5183,2.78379,2.72005,0.000580174,0.000580174,0.000580174
62,1067.27,1.24196,1.37091,1.41467,0.20461,0.41999,0.16132,0.08626,2.64521,2.85762,2.75098,0.000566027,0.000566027,0.000566027
63,1083.34,1.2018,1.25162,1.3623,0.17065,0.46825,0.16894,0.0792,2.64415,2.77933,2.78337,0.00055188,0.00055188,0.00055188
64,1099.3,1.25295,1.2859,1.40187,0.24159,0.4349,0.28884,0.09264,2.56753,2.76557,2.77568,0.000537733,0.000537733,0.000537733
65,1115.17,1.31936,1.2726,1.41014,0.24159,0.4349,0.28884,0.09264,2.56753,2.76557,2.77568,0.000523586,0.000523586,0.000523586
66,1130.71,1.23742,1.20334,1.36989,0.18677,0.44412,0.26326,0.07401,2.52921,2.78239,2.74371,0.000509438,0.000509438,0.000509438
67,1145.97,1.29164,1.31194,1.45979,0.55749,0.13492,0.26044,0.07151,2.46872,2.79169,2.69212,0.000495291,0.000495291,0.000495291
68,1161.38,1.31336,1.27766,1.44903,0.52601,0.11905,0.20142,0.07855,2.46679,2.85587,2.69667,0.000481144,0.000481144,0.000481144
69,1176.51,1.19433,1.24163,1.39058,0.52601,0.11905,0.20142,0.07855,2.46679,2.85587,2.69667,0.000466997,0.000466997,0.000466997
70,1190.31,1.27821,1.2823,1.43998,0.59863,0.11905,0.45111,0.17149,2.46462,2.80939,2.65774,0.00045285,0.00045285,0.00045285
71,1204.24,1.22473,1.20466,1.39861,0.40125,0.20635,0.44173,0.20252,2.47277,2.8398,2.69531,0.000438703,0.000438703,0.000438703
72,1218.39,1.16922,1.18113,1.34385,0.3619,0.53968,0.44185,0.23203,2.36857,2.85955,2.65965,0.000424556,0.000424556,0.000424556
73,1232.75,1.30855,1.37008,1.47622,0.3619,0.53968,0.44185,0.23203,2.36857,2.85955,2.65965,0.000410409,0.000410409,0.000410409
74,1246.89,1.25474,1.42779,1.40383,0.32971,0.48413,0.43554,0.22905,2.40896,2.89836,2.69759,0.000396262,0.000396262,0.000396262
75,1260.83,1.28395,1.30994,1.45104,0.37469,0.48413,0.43384,0.22163,2.41369,2.88833,2.71916,0.000382115,0.000382115,0.000382115
76,1274.69,1.24375,1.2506,1.36444,0.38044,0.48413,0.44777,0.21959,2.53809,2.99033,2.80602,0.000367967,0.000367967,0.000367967
77,1288.81,1.12633,1.19489,1.34162,0.38044,0.48413,0.44777,0.21959,2.53809,2.99033,2.80602,0.00035382,0.00035382,0.00035382
78,1303.11,1.22274,1.24483,1.42162,0.40195,0.48413,0.45229,0.23029,2.5945,2.97524,2.8291,0.000339673,0.000339673,0.000339673
79,1317.8,1.23102,1.2258,1.39385,0.35139,0.48413,0.45707,0.22253,2.56822,2.91673,2.82607,0.000325526,0.000325526,0.000325526
80,1334.69,1.09164,1.08937,1.29427,0.32101,0.48413,0.43146,0.21684,2.51971,2.87095,2.80528,0.000311379,0.000311379,0.000311379
81,1349.27,1.2219,1.25505,1.37487,0.32101,0.48413,0.43146,0.21684,2.51971,2.87095,2.80528,0.000297232,0.000297232,0.000297232
82,1363.87,1.21484,1.27401,1.42191,0.39163,0.48413,0.42766,0.21382,2.48912,2.84093,2.7534,0.000283085,0.000283085,0.000283085
83,1378.43,1.19255,1.20658,1.35476,0.45538,0.45238,0.45461,0.24604,2.49064,2.83266,2.74997,0.000268938,0.000268938,0.000268938
84,1392.63,1.1668,1.14129,1.33982,0.44611,0.45238,0.45186,0.24366,2.51687,2.79369,2.75322,0.000254791,0.000254791,0.000254791
85,1408.73,1.15201,1.14498,1.35085,0.44611,0.45238,0.45186,0.24366,2.51687,2.79369,2.75322,0.000240644,0.000240644,0.000240644
86,1424.17,1.13117,1.09512,1.29296,0.60299,0.45564,0.44426,0.27992,2.53856,2.8992,2.76962,0.000226497,0.000226497,0.000226497
87,1439.21,1.10432,1.11166,1.3106,0.54266,0.45238,0.44616,0.28642,2.49774,2.90749,2.73171,0.000212349,0.000212349,0.000212349
88,1454.46,1.18511,1.17876,1.37375,0.59985,0.45238,0.44741,0.27888,2.46228,2.89486,2.70305,0.000198202,0.000198202,0.000198202
89,1468.94,1.10862,1.16268,1.33346,0.59985,0.45238,0.44741,0.27888,2.46228,2.89486,2.70305,0.000184055,0.000184055,0.000184055
90,1483.47,1.04864,1.07709,1.30444,0.55384,0.45238,0.45069,0.31685,2.42759,2.89459,2.6716,0.000169908,0.000169908,0.000169908
91,1498.07,1.13226,1.20301,1.40785,0.5055,0.45238,0.44958,0.35093,2.40636,2.88104,2.68152,0.000155761,0.000155761,0.000155761
92,1512.09,1.05579,1.17837,1.30714,0.54852,0.45238,0.45264,0.38371,2.39332,2.82493,2.70713,0.000141614,0.000141614,0.000141614
93,1525.83,1.06409,1.18437,1.34494,0.54852,0.45238,0.45264,0.38371,2.39332,2.82493,2.70713,0.000127467,0.000127467,0.000127467
94,1539.3,1.08506,1.12322,1.35129,0.55432,0.45238,0.45141,0.38654,2.39782,2.78795,2.70992,0.00011332,0.00011332,0.00011332
95,1553.27,1.0898,1.15033,1.39031,0.50862,0.45238,0.45014,0.38491,2.40011,2.75364,2.75239,9.91726e-05,9.91726e-05,9.91726e-05
96,1568.33,1.07738,1.16351,1.35092,0.43597,0.45238,0.44948,0.34894,2.43968,2.74022,2.75736,8.50255e-05,8.50255e-05,8.50255e-05
97,1585.64,1.15241,1.26662,1.40482,0.43597,0.45238,0.44948,0.34894,2.43968,2.74022,2.75736,7.08784e-05,7.08784e-05,7.08784e-05
98,1599.79,1.11612,1.14836,1.42095,0.38037,0.45238,0.45194,0.34971,2.47406,2.73815,2.77388,5.67313e-05,5.67313e-05,5.67313e-05
99,1613.77,0.98463,1.06858,1.23002,0.37349,0.46825,0.44902,0.34953,2.50618,2.72409,2.78682,4.25842e-05,4.25842e-05,4.25842e-05
100,1627.55,1.03232,1.09469,1.2787,0.33583,0.46825,0.45018,0.34997,2.47633,2.72092,2.7727,2.84371e-05,2.84371e-05,2.84371e-05
